sku|nombre|escala|precio|categoria_id|stock
G660F4|Inyector de combustible|1 - 25|4864.73|p-92w|5528
G660F4|Inyector de combustible|26 - 50|4378.25|p-92w|5528
G660F4|Inyector de combustible|51 - 75|4135.02|p-92w|5528
L647n5|Medidor de presión de neumáticos|1 - 25|2171.87|D-66R|6424
L647n5|Medidor de presión de neumáticos|26 - 50|1954.68|D-66R|6424
L647n5|Medidor de presión de neumáticos|51 - 75|1846.09|D-66R|6424
W824g2|Amortiguadores|1 - 25|3737.45|k-59K|1161
W824g2|Amortiguadores|26 - 50|3363.7|k-59K|1161
W824g2|Amortiguadores|51 - 75|3176.83|k-59K|1161
j948t9|Bujía|1 - 25|3422.82|H-79v|3230
j948t9|Bujía|26 - 50|3080.53|H-79v|3230
j948t9|Bujía|51 - 75|2909.39|H-79v|3230
J115g7|Jack|1 - 25|1008.68|k-59K|9976
J115g7|Jack|26 - 50|907.81|k-59K|9976
J115g7|Jack|51 - 75|857.38|k-59K|9976
O565n9|Convertidor catalítico|1 - 25|3581.03|l-58I|9799
O565n9|Convertidor catalítico|26 - 50|3222.93|l-58I|9799
O565n9|Convertidor catalítico|51 - 75|3043.88|l-58I|9799
q877d8|Batería|1 - 25|2965.05|Q-26S|1015
q877d8|Batería|26 - 50|2668.55|Q-26S|1015
q877d8|Batería|51 - 75|2520.29|Q-26S|1015
T801Y6|Convertidor catalítico|1 - 25|1388.96|p-63G|9787
T801Y6|Convertidor catalítico|26 - 50|1250.07|p-63G|9787
T801Y6|Convertidor catalítico|51 - 75|1180.62|p-63G|9787
p097U5|Amortiguadores|1 - 25|1476.03|p-92w|5263
p097U5|Amortiguadores|26 - 50|1328.43|p-92w|5263
p097U5|Amortiguadores|51 - 75|1254.63|p-92w|5263
o513p9|Líquido de dirección asistida|1 - 25|2371.56|O-45M|8204
o513p9|Líquido de dirección asistida|26 - 50|2134.4|O-45M|8204
o513p9|Líquido de dirección asistida|51 - 75|2015.82|O-45M|8204
f287u1|Convertidor catalítico|1 - 25|3924.84|h-98n|8563
f287u1|Convertidor catalítico|26 - 50|3532.35|h-98n|8563
f287u1|Convertidor catalítico|51 - 75|3336.11|h-98n|8563
J871s4|Neumático de repuesto|1 - 25|3722.49|h-98n|1600
J871s4|Neumático de repuesto|26 - 50|3350.24|h-98n|1600
J871s4|Neumático de repuesto|51 - 75|3164.12|h-98n|1600
n185Z8|Embrague|1 - 25|4296.16|d-90M|321
n185Z8|Embrague|26 - 50|3866.54|d-90M|321
n185Z8|Embrague|51 - 75|3651.73|d-90M|321
C989f4|Frenos|1 - 25|2350.99|x-30p|6607
C989f4|Frenos|26 - 50|2115.89|x-30p|6607
C989f4|Frenos|51 - 75|1998.34|x-30p|6607
p965s9|Alternador|1 - 25|2743.18|D-66R|5749
p965s9|Alternador|26 - 50|2468.86|D-66R|5749
p965s9|Alternador|51 - 75|2331.7|D-66R|5749
N232Q0|Ventilador del motor|1 - 25|5981.38|Q-26S|3038
N232Q0|Ventilador del motor|26 - 50|5383.24|Q-26S|3038
N232Q0|Ventilador del motor|51 - 75|5084.17|Q-26S|3038
R471W1|Líquido de dirección asistida|1 - 25|3541.69|N-74E|2703
R471W1|Líquido de dirección asistida|26 - 50|3187.53|N-74E|2703
R471W1|Líquido de dirección asistida|51 - 75|3010.44|N-74E|2703
S220I1|Bujía|1 - 25|5084.1|h-98n|7532
S220I1|Bujía|26 - 50|4575.69|h-98n|7532
S220I1|Bujía|51 - 75|4321.48|h-98n|7532
Z684p8|Compresor de A/C|1 - 25|1687.38|P-71S|2027
Z684p8|Compresor de A/C|26 - 50|1518.64|P-71S|2027
Z684p8|Compresor de A/C|51 - 75|1434.27|P-71S|2027
r396C9|Eje|1 - 25|4303.07|t-02z|4416
r396C9|Eje|26 - 50|3872.76|t-02z|4416
r396C9|Eje|51 - 75|3657.61|t-02z|4416
N751h5|Batería|1 - 25|3246.42|v-38x|2357
N751h5|Batería|26 - 50|2921.77|v-38x|2357
N751h5|Batería|51 - 75|2759.45|v-38x|2357
p795b3|Ventilador del motor|1 - 25|1977.53|k-64b|711
p795b3|Ventilador del motor|26 - 50|1779.78|k-64b|711
p795b3|Ventilador del motor|51 - 75|1680.9|k-64b|711
Y413k5|Compresor de A/C|1 - 25|5576.94|A-58j|9408
Y413k5|Compresor de A/C|26 - 50|5019.25|A-58j|9408
Y413k5|Compresor de A/C|51 - 75|4740.4|A-58j|9408
Y560j1|Transmisión|1 - 25|1184.71|A-58j|9518
Y560j1|Transmisión|26 - 50|1066.24|A-58j|9518
Y560j1|Transmisión|51 - 75|1007.01|A-58j|9518
M309R8|Amortiguadores|1 - 25|1528.88|r-76x|4430
M309R8|Amortiguadores|26 - 50|1375.99|r-76x|4430
M309R8|Amortiguadores|51 - 75|1299.55|r-76x|4430
M101K3|Amortiguadores|1 - 25|2615.09|d-90M|5770
M101K3|Amortiguadores|26 - 50|2353.58|d-90M|5770
M101K3|Amortiguadores|51 - 75|2222.83|d-90M|5770
h161c5|Silenciador|1 - 25|5192.87|E-67u|4980
h161c5|Silenciador|26 - 50|4673.59|E-67u|4980
h161c5|Silenciador|51 - 75|4413.94|E-67u|4980
T903h2|Radiador|1 - 25|4310.36|a-18C|774
