sku,marca,modelo,year
G660F4,Ford,Lanos,2018.0
L647n5,Honda,Range Rover,1998.0
W824g2,Ford,Mustang,1998.0
j948t9,Volvo,4Runner,2011.0
J115g7,Chevrolet,Tacoma Access Cab,2008.0
O565n9,Scion,Q3,2009.0
q877d8,Toyota,Challenger,2007.0
T801Y6,Dodge,F150 Regular Cab,2006.0
p097U5,Cadillac,Excel,2016.0
o513p9,Pontiac,GTI,2006.0
f287u1,Volkswagen,Caprice Classic,1998.0
J871s4,Ford,Ram 2500 Regular Cab,2009.0
n185Z8,Rolls-Royce,Land Cruiser,2020.0
C989f4,Acura,Astro Passenger,2020.0
p965s9,GMC,Esperante,2010.0
N232Q0,GMC,86,2012.0
R471W1,Volvo,GLK-Class,2010.0
S220I1,BMW,Rodeo,2000.0
Z684p8,Toyota,Optima Hybrid,2006.0
r396C9,Ford,Dakota Club Cab,2016.0
N751h5,Ford,DeVille,2008.0
p795b3,Ford,Firebird,2006.0
Y413k5,Ford,xB,1994.0
Y560j1,Mercedes-Benz,Amigo,2017.0
M309R8,Ford,S4,1992.0
M101K3,Lotus,Legacy,2013.0
h161c5,Chevrolet,DBS,2019.0
T903h2,Hyundai,3500 Crew Cab,2017.0
I730B0,Rolls-Royce,Sedona,2014.0
o914e1,Volvo,Sedona,1994.0
d456G2,Lexus,Metro,2008.0
S709z1,Dodge,Explorer,2011.0
K345k7,Chevrolet,600 SEL,2008.0
v302H2,Subaru,Taurus,2005.0
Q419l7,McLaren,Ranger Super Cab,2016.0
G076t9,Audi,Legacy,2012.0
J564S2,Mitsubishi,Escalade,2009.0
V071c5,Aston Martin,CL-Class,2004.0
W842E3,Ferrari,Frontier Crew Cab,2001.0
L594O5,Ram,FF,2014.0
V924A6,INFINITI,Suburban,1992.0
S109v3,Volkswagen,F350 Super Duty Regular Cab,2019.0
y233T7,Ferrari,SRX,1992.0
S960K6,BMW,MPV,2017.0
e602q7,Jeep,Sienna,2019.0
J278M7,Ford,Sierra 3500 HD Extended Cab,2013.0
t007D5,Dodge,LX,2011.0
O063f8,Nissan,Sierra 1500 Limited Double Cab,1994.0
u206a6,GMC,Sprinter 2500 Cargo,2009.0
N300g8,Chevrolet,Sprinter 3500 Cargo,2017.0
t319r3,Dodge,GS,2000.0
O217f6,Nissan,Titan King Cab,1996.0
q047i1,Subaru,DB11,2016.0
r851b2,Lexus,Hardtop,2009.0
J003u4,Buick,A4,1992.0
P590F9,Chevrolet,Sequoia,2018.0
l765n8,Nissan,Avalon,2005.0
i694j0,MAZDA,7 Series,2016.0
T455f5,Ford,Genesis Coupe,2020.0
r590k0,Chevrolet,SC,1992.0
z294J5,Ford,350Z,2005.0
U241p7,Hyundai,M5,2014.0
U042e8,MAZDA,Prius Prime,1999.0
A465g4,INFINITI,Tundra Double Cab,2018.0
v187Z7,Lincoln,Sierra 1500 Regular Cab,2015.0
S517F1,Kia,Montero,2005.0
V604R5,Mitsubishi,Sequoia,2015.0
Z229O6,MINI,Tiburon,2002.0
V111o3,Kia,XT5,2012.0
z060J1,Pontiac,Tribeca,2010.0
Y847L7,Porsche,Grand Marquis,2003.0
o361q5,Audi,4Runner,2019.0
w926h3,Daewoo,Eurovan,2001.0
W108R7,Ford,6 Series,2000.0
q317n6,Tesla,Sierra 1500 Regular Cab,2014.0
g039m2,Kia,G,1997.0
j765g8,Mercedes-Benz,Malibu,2018.0
z972O9,Isuzu,Sierra 1500 Crew Cab,2007.0
F687F5,Oldsmobile,Terrain,2002.0
a389v3,BMW,4Runner,2017.0
j550q8,Kia,A4 allroad,2002.0
s926T9,BMW,Continental,2020.0
c711e8,Ford,A8,2020.0
a320W4,Mercedes-Benz,Express 2500 Passenger,2012.0
P752D2,Audi,GranTurismo,2007.0
G586c8,GMC,3500 Regular Cab,2016.0
e918V9,Dodge,Sequoia,2017.0
M634A8,GMC,Colorado Crew Cab,1999.0
o769Z9,Toyota,Expedition EL,2015.0
G002K4,Dodge,Yukon XL 2500,2016.0
q451t7,Kia,599 GTB Fiorano,2019.0
k666P0,BMW,S8,2012.0
d234c5,Hyundai,H1,2007.0
M762T7,GMC,Eurovan,2018.0
c125N6,Hyundai,Ram Wagon 3500,2000.0
g767E0,Mercury,New Yorker,2013.0
N200i9,Bentley,Corolla,2008.0
m518y5,Lincoln,Model S,2014.0
S710D9,Acura,Montana SV6,2005.0
s951Y9,GMC,4C Spider,2005.0
H264Y1,Toyota,M4,2009.0
x306W7,Acura,Mustang,1992.0
c375c1,Pontiac,Malibu,2003.0
Q740K8,Toyota,Tucson,2008.0
X933O1,Rolls-Royce,Suburban 1500,2010.0
t886h8,Ford,Navigator,2013.0
f269g6,Ford,Silverado 1500 Double Cab,2007.0
X611j6,Dodge,LR3,2007.0
b076F6,Subaru,MAZDA6,2016.0
e541h5,Lincoln,Diamante,1998.0
l505a5,Volvo,Neon,2015.0
j351n9,Land Rover,Camry,1997.0
s031x0,Honda,e-Golf,2007.0
l093D2,Suzuki,MAZDA5,2013.0
i175b4,Nissan,Corolla,2017.0
s355s7,Acura,Sprinter 3500 XD Cargo,2012.0
f852g9,Mitsubishi,Cayenne,2003.0
y894j2,Lexus,Express 3500 Cargo,2003.0
p235p8,Ford,Caprice Classic,2008.0
Q245c6,Oldsmobile,Suburban 2500,2011.0
e290S6,Dodge,B-Class,2004.0
J126A4,Maybach,Liberty,2013.0
O296w4,Nissan,F450 Super Duty Crew Cab,2005.0
O137H5,Scion,Model X,2019.0
A066U0,GMC,RAV4,2012.0
s573E5,Audi,SL-Class,2002.0
h121J4,Ford,Tundra Double Cab,2018.0
l927X6,Honda,Sonic,2016.0
D662v3,Lincoln,Explorer,2004.0
O825O7,Chevrolet,Altima,2014.0
a173S4,Hyundai,Express 2500 Passenger,2014.0
n797t0,Nissan,Yukon XL 2500,2001.0
j148B9,Chevrolet,Continental,2006.0
