sku,nombre,escala,precio,categoria_id,stock
G660F4,Inyector de combustible,1 - 25,4864.73,p-92w,5528.0
G660F4,Inyector de combustible,26 - 50,4378.25,p-92w,5528.0
G660F4,Inyector de combustible,51 - 75,4135.02,p-92w,5528.0
L647n5,Medidor de presion de neumaticos,1 - 25,2171.87,D-66R,6424.0
L647n5,Medidor de presion de neumaticos,26 - 50,1954.68,D-66R,6424.0
L647n5,Medidor de presion de neumaticos,51 - 75,1846.09,D-66R,6424.0
W824g2,Amortiguadores,1 - 25,3737.45,k-59K,1161.0
W824g2,Amortiguadores,26 - 50,3363.7,k-59K,1161.0
W824g2,Amortiguadores,51 - 75,3176.83,k-59K,1161.0
j948t9,Bujia,1 - 25,3422.82,H-79v,3230.0
j948t9,Bujia,26 - 50,3080.53,H-79v,3230.0
j948t9,Bujia,51 - 75,2909.39,H-79v,3230.0
J115g7,Jack,1 - 25,1008.68,k-59K,9976.0
J115g7,Jack,26 - 50,907.81,k-59K,9976.0
J115g7,Jack,51 - 75,857.38,k-59K,9976.0
O565n9,Convertidor catalitico,1 - 25,3581.03,l-58I,9799.0
O565n9,Convertidor catalitico,26 - 50,3222.93,l-58I,9799.0
O565n9,Convertidor catalitico,51 - 75,3043.88,l-58I,9799.0
q877d8,Bateria,1 - 25,2965.05,Q-26S,1015.0
q877d8,Bateria,26 - 50,2668.55,Q-26S,1015.0
q877d8,Bateria,51 - 75,2520.29,Q-26S,1015.0
T801Y6,Convertidor catalitico,1 - 25,1388.96,p-63G,9787.0
T801Y6,Convertidor catalitico,26 - 50,1250.07,p-63G,9787.0
T801Y6,Convertidor catalitico,51 - 75,1180.62,p-63G,9787.0
p097U5,Amortiguadores,1 - 25,1476.03,p-92w,5263.0
p097U5,Amortiguadores,26 - 50,1328.43,p-92w,5263.0
p097U5,Amortiguadores,51 - 75,1254.63,p-92w,5263.0
o513p9,Liquido de direccion asistida,1 - 25,2371.56,O-45M,8204.0
o513p9,Liquido de direccion asistida,26 - 50,2134.4,O-45M,8204.0
o513p9,Liquido de direccion asistida,51 - 75,2015.82,O-45M,8204.0
f287u1,Convertidor catalitico,1 - 25,3924.84,h-98n,8563.0
f287u1,Convertidor catalitico,26 - 50,3532.35,h-98n,8563.0
f287u1,Convertidor catalitico,51 - 75,3336.11,h-98n,8563.0
J871s4,Neumatico de repuesto,1 - 25,3722.49,h-98n,1600.0
J871s4,Neumatico de repuesto,26 - 50,3350.24,h-98n,1600.0
J871s4,Neumatico de repuesto,51 - 75,3164.12,h-98n,1600.0
n185Z8,Embrague,1 - 25,4296.16,d-90M,321.0
n185Z8,Embrague,26 - 50,3866.54,d-90M,321.0
n185Z8,Embrague,51 - 75,3651.73,d-90M,321.0
C989f4,Frenos,1 - 25,2350.99,x-30p,6607.0
C989f4,Frenos,26 - 50,2115.89,x-30p,6607.0
C989f4,Frenos,51 - 75,1998.34,x-30p,6607.0
p965s9,Alternador,1 - 25,2743.18,D-66R,5749.0
p965s9,Alternador,26 - 50,2468.86,D-66R,5749.0
p965s9,Alternador,51 - 75,2331.7,D-66R,5749.0
